grid_point,N_poses,Emin_kcal,Z,Boltz_mean_Eint_corr_kcal,Boltz_std_kcal,pose_probs
gp91,8,-4.446477008374131,3.9999999443390415,-4.446477000129563,6.733016314406599e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp92,8,-4.446477008374131,3.9999999443390415,-4.446477000129563,6.733016314406598e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp93,8,-4.446477008373222,3.999999944348252,-4.446477000130017,6.732065523217804e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp94,8,-4.446477008374131,3.9999999443405767,-4.446477000129789,6.732792266504096e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp95,8,-4.446477008374131,3.9999999443451815,-4.446477000130471,6.7333016991015545e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp96,8,-4.446477008373222,3.9999999443497867,-4.446477000130245,6.73302332861351e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp97,8,-4.446477008374131,3.9999999443405767,-4.446477000129789,6.732792266502864e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp98,8,-4.446477008373222,3.999999944352857,-4.446477000130699,6.7325754792216095e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp99,8,-4.446477008371403,3.999999944360532,-4.446477000130018,6.731848896845544e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp100,8,-4.446477008371403,3.999999944360532,-4.446477000130018,6.731848896845785e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp101,8,-4.446477008373222,3.999999944352857,-4.446477000130699,6.732575479221532e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp102,8,-4.446477008587863,3.99999996736174,-4.446477003753444,4.1053890525375115e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp103,8,-4.446477008588772,3.9999999673678803,-4.446477003755263,4.106753393383022e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp104,8,-4.446477008587863,3.9999999673678803,-4.446477003754353,4.1048583026958334e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp105,8,-4.446477008587863,3.9999999673801607,-4.446477003756172,4.105566054632666e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp106,8,-4.446477008586044,3.9999999673724855,-4.446477003753216,4.104669726664519e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
gp107,8,-4.446477008589682,3.9999999673540647,-4.446477003754126,4.105945665432616e-09,b0_rot0:0.250000;b0_rot90:0.250000;b0_rot180:0.250000;b0_rot270:0.250000;b1_rot0:0.000000;b1_rot90:0.000000;b1_rot180:0.000000;b1_rot270:0.000000
